case_id,method,precision_at_k,recall_at_k,f1_at_k,ndcg_at_k
CASE_001,BM25,0.2697156647744336,0.3107283848776355,0.2920376516155083,0.2793381558650475
CASE_001,Dense (E5),0.3433951767761229,0.35216461500622226,0.35974788335059055,0.3421125520729893
CASE_001,Reranker (BGE),0.3915123213660775,0.40572837245598714,0.3618162726167192,0.38073067803847316
CASE_001,H2L V2,0.40155347964506216,0.4011502018319324,0.3838843059311106,0.39220527348358203
CASE_001,H2L V3,0.4084849934640129,0.4364005448718672,0.42473279241239104,0.42076207019204076
CASE_002,BM25,0.32315055348678084,0.36160642327103515,0.35744695159385237,0.33437148537441225
CASE_002,Dense (E5),0.42735900116922015,0.44524716563187616,0.41336362302337865,0.40831439259951313
CASE_002,Reranker (BGE),0.4314599530566155,0.4858051725002468,0.43612804093008856,0.4669597493315751
CASE_002,H2L V2,0.4592862188334679,0.47440104496579977,0.48607725375563426,0.46938012419906755
CASE_002,H2L V3,0.5106010943148623,0.516422471395124,0.49982677376969065,0.5006883856193353
CASE_003,BM25,0.3814269517154802,0.4318464272526538,0.40313159086745726,0.4020085875779292
CASE_003,Dense (E5),0.47786503776458594,0.48143569632990263,0.5044111984999959,0.4844646460657495
CASE_003,Reranker (BGE),0.5196490077287185,0.5478430576783039,0.5154315195830916,0.5426906332600406
CASE_003,H2L V2,0.5637925940055424,0.5855243235318635,0.5720046628695049,0.5396143619850411
CASE_003,H2L V3,0.5666701386505316,0.597836695281195,0.5881214920786413,0.5984418823693518
CASE_004,BM25,0.2840018514971447,0.30263633976732207,0.2850111904405566,0.28166238507019953
CASE_004,Dense (E5),0.35382727632054883,0.3602512434071726,0.34986100480795695,0.3512276860160391
CASE_004,Reranker (BGE),0.37971105435011826,0.40947473480279606,0.38492327357395395,0.37158794777516363
CASE_004,H2L V2,0.37066160259872594,0.4007206513517019,0.3815961397375268,0.38537374158193716
CASE_004,H2L V3,0.42258691087934197,0.45642044352355504,0.4164002205037457,0.4195458099074395
CASE_005,BM25,0.396405050079118,0.4192289572966622,0.38338668470766757,0.4061129030484198
CASE_005,Dense (E5),0.45499502377528006,0.479639414153498,0.513163518100814,0.47774565942624325
CASE_005,Reranker (BGE),0.5064801640863346,0.5236454514205506,0.5138402602864391,0.5251890063312357
CASE_005,H2L V2,0.5285375447078212,0.5674319925362988,0.5564452183406781,0.5457256696440751
CASE_005,H2L V3,0.61612759280787,0.5972227109807429,0.5975369768699476,0.6035188574451192
