method,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR,retrieval_time
basic,CHILD_001,moderate,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,1.3755950927734375
basic,CHILD_002,complex,0.8,0.8,0.8000000000000002,0.5176573656780945,0.9666666666666666,1.0,6.1076836585998535
basic,CHILD_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.1228551864624023
basic,CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6291208791208791,1.0,1.2275338172912598
basic,CHILD_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.0759549140930176
basic,ELDER_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0208029747009277
basic,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.361166000366211
basic,ELDER_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.1061971187591553
basic,ELDER_004,complex,0.6,0.375,0.4615384615384615,0.6843515475204855,0.6974702380952381,1.0,1.5547690391540527
basic,ELDER_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.031653881072998
basic,ELDER_006,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0481867790222168
basic,ELDER_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.1190378665924072
basic,ELDER_008,complex,0.4,0.6666666666666666,0.5,0.562455901550729,0.4761904761904762,0.5,1.4798462390899658
basic,ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.105004072189331
basic,ELDER_010,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.5785479545593262
basic,DISABLED_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.01283597946167
basic,DISABLED_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.057771921157837
basic,DISABLED_003,complex,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5714285714285714,1.0,1.36002779006958
basic,DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.12692307692307692,0.1,1.2850229740142822
basic,DISABLED_005,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.018578052520752
basic,DISABLED_006,moderate,0.2,0.3333333333333333,0.25,0.7262287617954056,0.4952380952380952,1.0,1.3545739650726318
basic,DISABLED_007,complex,0.8,0.6666666666666666,0.7272727272727272,0.8724997542842517,0.6623015873015873,1.0,1.3470008373260498
basic,DISABLED_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.2324609756469727
basic,DISABLED_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9652299880981445
basic,DISABLED_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.3009788990020752
basic,HOMELESS_001,moderate,0.2,0.5,0.28571428571428575,0.8262346571285599,0.5769230769230769,1.0,1.134519100189209
basic,HOMELESS_002,complex,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333,1.2028701305389404
basic,HOMELESS_003,simple,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333,1.1700878143310547
basic,HOMELESS_004,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.150392770767212
basic,HOMELESS_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.2393221855163574
basic,MENTAL_001,moderate,0.4,0.5,0.4444444444444445,0.6097426926720908,0.5346590909090909,1.0,1.2341291904449463
basic,MENTAL_002,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.2212638854980469
basic,MENTAL_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0088460445404053
basic,MENTAL_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.1839630603790283
basic,MENTAL_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0705969333648682
basic,MENTAL_006,complex,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,1.5023250579833984
basic,MENTAL_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9539330005645752
basic,MENTAL_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0486278533935547
basic,MENTAL_009,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.1970508098602295
basic,MENTAL_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1514241695404053
basic,SUBSTANCE_001,moderate,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,1.2033770084381104
basic,SUBSTANCE_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1110217571258545
basic,SUBSTANCE_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9697339534759521
basic,SUBSTANCE_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0884568691253662
basic,NCD_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.983335018157959
basic,NCD_002,moderate,0.0,0.0,0.0,0.0,0.1,0.1,1.0475409030914307
basic,NCD_003,moderate,0.4,0.5,0.4444444444444445,0.5855700749881525,0.541025641025641,1.0,1.032348871231079
basic,NCD_004,complex,0.0,0.0,0.0,0.0,0.125,0.125,1.3098838329315186
basic,NCD_005,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.084502935409546
basic,NCD_006,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.1847591400146484
basic,NCD_007,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.2779619693756104
basic,NCD_008,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.1440060138702393
basic,NCD_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9975059032440186
basic,NCD_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1524741649627686
basic,HIV_TB_001,moderate,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,1.0604510307312012
basic,HIV_TB_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1984798908233643
basic,HIV_TB_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0527729988098145
basic,HIV_TB_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.2743229866027832
basic,HIV_TB_005,complex,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333,1.272737979888916
basic,BEDRIDDEN_001,complex,0.6,0.5,0.5454545454545454,0.6843515475204855,0.7327380952380952,1.0,1.1705138683319092
basic,BEDRIDDEN_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0496461391448975
basic,BEDRIDDEN_003,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0426571369171143
basic,BEDRIDDEN_004,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.3499341011047363
basic,BEDRIDDEN_005,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0633180141448975
basic,BEDRIDDEN_006,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0205230712890625
basic,BEDRIDDEN_007,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9980900287628174
basic,BEDRIDDEN_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0388309955596924
basic,BEDRIDDEN_009,moderate,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0,0.9505081176757812
basic,BEDRIDDEN_010,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.2664189338684082
basic,REHAB_001,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9448800086975098
basic,REHAB_002,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1640288829803467
basic,REHAB_003,moderate,0.2,0.5,0.28571428571428575,0.6131471927654584,0.6,1.0,0.8982601165771484
basic,REHAB_004,simple,0.4,1.0,0.5714285714285715,0.8503449055347546,0.7,1.0,0.837407112121582
basic,REHAB_005,moderate,0.2,0.5,0.28571428571428575,0.6131471927654584,0.6666666666666666,1.0,1.0491859912872314
basic,FINANCE_001,simple,0.4,1.0,0.5714285714285715,0.944847956559586,0.75,1.0,0.9945921897888184
basic,FINANCE_002,moderate,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,1.031614065170288
basic,FINANCE_003,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9618618488311768
basic,FINANCE_004,simple,0.0,0.0,0.0,0.0,0.125,0.125,0.9568042755126953
basic,FINANCE_005,moderate,0.0,0.0,0.0,0.0,0.22962962962962963,0.16666666666666666,0.9385180473327637
basic,LOVE_001,simple,0.2,0.5,0.28571428571428575,0.3065735963827292,0.24358974358974358,0.3333333333333333,0.859093189239502
basic,LOVE_002,moderate,0.6,0.75,0.6666666666666665,0.9368830196397312,0.85,1.0,0.9219019412994385
basic,LOVE_003,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9502100944519043
basic,LOVE_004,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.1300480365753174
basic,LOVE_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9977281093597412
basic,FAMILY_001,moderate,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,1.0183489322662354
basic,FAMILY_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0739600658416748
basic,FAMILY_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8723950386047363
basic,VIOLENCE_001,complex,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,1.5387520790100098
basic,VIOLENCE_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0123929977416992
basic,VIOLENCE_003,moderate,0.4,0.6666666666666666,0.5,0.7653606369886217,0.7575757575757575,1.0,0.9915587902069092
basic,VIOLENCE_004,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.7870240211486816
basic,VIOLENCE_005,complex,0.8,0.8,0.8000000000000002,0.7374888186101477,0.7861904761904762,1.0,1.1481571197509766
basic,CHILD_001_PAR_01,moderate,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,1.0131549835205078
basic,CHILD_002_PAR_01,complex,0.8,0.8,0.8000000000000002,0.49479222926951455,0.8099999999999999,1.0,1.2530548572540283
basic,CHILD_003_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0769627094268799
basic,CHILD_004_PAR_01,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6659090909090909,1.0,1.1833219528198242
basic,CHILD_005_PAR_01,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.0462677478790283
basic,ELDER_003_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0330650806427002
basic,ELDER_004_PAR_01,complex,0.6,0.375,0.4615384615384615,0.6992148198508501,0.7563311688311688,1.0,1.4382500648498535
basic,ELDER_007_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0139069557189941
basic,ELDER_008_PAR_01,complex,0.4,0.6666666666666666,0.5,0.562455901550729,0.4761904761904762,0.5,1.4474070072174072
basic,ELDER_010_PAR_01,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.4206290245056152
basic,DISABLED_001_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.1482188701629639
basic,DISABLED_002_PAR_01,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0122511386871338
basic,DISABLED_003_PAR_01,complex,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5666666666666667,1.0,1.219290018081665
basic,DISABLED_004_PAR_01,moderate,0.0,0.0,0.0,0.0,0.15476190476190477,0.14285714285714285,1.3090498447418213
basic,DISABLED_005_PAR_01,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9805507659912109
basic,DISABLED_006_PAR_01,moderate,0.4,0.5,0.4444444444444445,0.7424693355471289,0.5015151515151515,1.0,1.5850880146026611
basic,DISABLED_007_PAR_01,complex,0.6,0.6,0.6,0.8207820281163857,0.7666666666666666,1.0,1.2764990329742432
basic,DISABLED_008_PAR_01,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.1805880069732666
basic,DISABLED_009_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0756499767303467
basic,DISABLED_010_PAR_01,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.2995710372924805
basic,HOMELESS_002_PAR_01,complex,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333,1.2176308631896973
basic,MENTAL_001_PAR_01,moderate,0.4,0.5,0.4444444444444445,0.6097426926720908,0.54375,1.0,1.117077112197876
basic,MENTAL_003_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0158939361572266
basic,MENTAL_008_PAR_01,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0732967853546143
basic,MENTAL_010_PAR_01,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.196296215057373
basic,SUBSTANCE_002_PAR_01,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1268970966339111
basic,SUBSTANCE_003_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9705383777618408
basic,NCD_001_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0010368824005127
basic,NCD_009_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.960453987121582
basic,NCD_010_PAR_01,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1373419761657715
basic,HIV_TB_005_PAR_01,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.2485511302947998
basic,BEDRIDDEN_006_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9104287624359131
basic,BEDRIDDEN_010_PAR_01,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.307793140411377
basic,REHAB_001_PAR_01,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.944976806640625
basic,REHAB_003_PAR_01,moderate,0.2,0.5,0.28571428571428575,0.6131471927654584,0.6,1.0,0.9517838954925537
basic,REHAB_004_PAR_01,simple,0.4,1.0,0.5714285714285715,0.8503449055347546,0.7,1.0,0.9398257732391357
basic,REHAB_005_PAR_01,moderate,0.4,1.0,0.5714285714285715,0.8503449055347546,0.7,1.0,1.2070560455322266
basic,FINANCE_001_PAR_01,simple,0.4,0.6666666666666666,0.5,0.8304853296300547,0.5714285714285714,1.0,1.0013470649719238
basic,FINANCE_002_PAR_01,moderate,0.0,0.0,0.0,0.0,0.10238095238095238,0.07142857142857142,1.0485200881958008
basic,FINANCE_003_PAR_01,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.8523948192596436
basic,LOVE_005_PAR_01,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9636678695678711
basic,FAMILY_001_PAR_01,moderate,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,1.0305759906768799
basic,FAMILY_002_PAR_01,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.2382831573486328
basic,FAMILY_003_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.904177188873291
