case_id,variant,precision_at_k,recall_at_k,f1_at_k,ndcg_at_k,map,mrr
CASE_001,Full (L1+L2),0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_001,L1 Only,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_002,Full (L1+L2),0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_002,L1 Only,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_003,Full (L1+L2),0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_003,L1 Only,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_004,Full (L1+L2),0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_004,L1 Only,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_005,Full (L1+L2),0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_005,L1 Only,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
