case_id,alpha,precision_at_k,recall_at_k,f1_at_k,ndcg_at_k,map,mrr
CASE_001,0.0,0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_002,0.0,0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_003,0.0,0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_004,0.0,0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_005,0.0,0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_001,0.5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_002,0.5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_003,0.5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_004,0.5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_005,0.5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_001,1.0,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_002,1.0,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_003,1.0,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_004,1.0,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_005,1.0,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_001,1.5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_002,1.5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_003,1.5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_004,1.5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_005,1.5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_001,2.0,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_002,2.0,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_003,2.0,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_004,2.0,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_005,2.0,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
