variant,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR
Semantic (Soft),CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6833333333333333,1.0
Semantic (Soft),ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5
Semantic (Soft),DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.1625,0.125
Semantic (Soft),DISABLED_006,moderate,0.4,1.0,0.5714285714285715,0.9327783893101107,0.7,1.0
Semantic (Soft),HOMELESS_003,simple,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5
Semantic (Soft),MENTAL_006,complex,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333
Semantic (Soft),MENTAL_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),MENTAL_009,complex,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),SUBSTANCE_003,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NCD_001,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NCD_004,complex,0.0,0.0,0.0,0.0,0.125,0.125
Semantic (Soft),NCD_008,complex,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),HIV_TB_003,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),BEDRIDDEN_003,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Semantic (Soft),BEDRIDDEN_004,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Semantic (Soft),BEDRIDDEN_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),REHAB_002,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Semantic (Soft),FINANCE_001,simple,0.4,1.0,0.5714285714285715,0.944847956559586,0.75,1.0
Semantic (Soft),LOVE_004,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),FAMILY_001,moderate,0.4,1.0,0.5714285714285715,1.0,1.0,1.0
Semantic (Soft),VIOLENCE_004,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),CHILD_004_PAR_01,moderate,0.4,0.6666666666666666,0.5,0.7653606369886217,0.7777777777777778,1.0
Semantic (Soft),DISABLED_004_PAR_01,moderate,0.0,0.0,0.0,0.0,0.23095238095238094,0.14285714285714285
Semantic (Soft),DISABLED_006_PAR_01,moderate,0.4,0.5,0.4444444444444445,0.7520764230169481,0.5041208791208791,1.0
Semantic (Soft),MENTAL_008_PAR_01,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),SUBSTANCE_003_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NCD_001_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),FINANCE_001_PAR_01,simple,0.4,1.0,0.5714285714285715,0.944847956559586,0.75,1.0
Semantic (Soft),FAMILY_001_PAR_01,moderate,0.4,1.0,0.5714285714285715,1.0,1.0,1.0
Semantic (Soft),HOMELESS_003_ESC_01,complex,0.4,0.6666666666666666,0.5,0.7653606369886217,0.7575757575757575,1.0
Semantic (Soft),ADV_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_003,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_005,moderate,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693
Semantic (Soft),NEG_SH_POS,moderate,0.6,0.75,0.6666666666666665,0.787702056960637,0.775,1.0
Semantic (Soft),NEG_SH_NEG,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_SM_POS,simple,0.6,0.75,0.6666666666666665,0.8048099750039491,0.7986111111111112,1.0
Semantic (Soft),NEG_SM_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_SL_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_SL_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_MH_POS,complex,0.6,0.6,0.6,0.811925988329848,0.6922222222222222,1.0
Semantic (Soft),NEG_MH_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_MM_POS,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_MM_NEG,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_ML_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_ML_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_LH_POS,complex,0.6,0.75,0.6666666666666665,0.8318724637288826,0.8928571428571428,1.0
Semantic (Soft),NEG_LH_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_LM_POS,complex,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333
Semantic (Soft),NEG_LM_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_LL_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_LL_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_SH_POS_V2,moderate,0.6,0.75,0.6666666666666665,0.8318724637288826,0.85,1.0
Semantic (Soft),NEG_SH_NEG_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_SM_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_SM_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_SL_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_SL_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_MH_POS_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_MH_NEG_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_MM_POS_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_MM_NEG_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_ML_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_ML_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_LH_POS_V2,complex,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142
Semantic (Soft),NEG_LH_NEG_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_LM_POS_V2,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Semantic (Soft),NEG_LM_NEG_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_LL_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),NEG_LL_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),SHORT_ELDER_01,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Semantic (Soft),SHORT_HOMELESS_01,simple,0.2,0.5,0.28571428571428575,0.13770577618809332,0.3333333333333333,0.3333333333333333
Semantic (Soft),SHORT_MENTAL_01,simple,0.6,1.0,0.7499999999999999,0.8145672023038535,1.0,1.0
Semantic (Soft),SHORT_CHILD_01,simple,0.8,1.0,0.888888888888889,0.9047172294870751,0.8041666666666667,1.0
Semantic (Soft),SHORT_ABUSE_01,simple,0.8,1.0,0.888888888888889,0.9558295932317544,0.8875,1.0
Semantic (Soft),TINY_ABUSE_01,simple,0.4,1.0,0.5714285714285715,0.5012658353418871,0.325,0.25
Semantic (Soft),TINY_MENTAL_01,simple,0.4,1.0,0.5714285714285715,1.0,1.0,1.0
Semantic (Soft),TINY_HOMELESS_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_006,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_007,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_009,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Semantic (Soft),ADV_010,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_011,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_012,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_013,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_014,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_015,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_016,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_017,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_018,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Semantic (Soft),ADV_019,moderate,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142
Semantic (Soft),ADV_020,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Keyword (Hard),CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6659090909090909,1.0
Keyword (Hard),ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0
Keyword (Hard),ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5
Keyword (Hard),DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.14583333333333331,0.125
Keyword (Hard),DISABLED_006,moderate,0.4,0.5,0.4444444444444445,0.7424693355471289,0.47435897435897434,1.0
Keyword (Hard),HOMELESS_003,simple,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5
Keyword (Hard),MENTAL_006,complex,0.2,1.0,0.33333333333333337,0.38685280723454163,0.2,0.2
