case_id,variant,precision_at_k,recall_at_k,f1_at_k,ndcg_at_k,map,mrr
CASE_001,Semantic (Soft),0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_001,Keyword (Hard),0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_002,Semantic (Soft),0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_002,Keyword (Hard),0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_003,Semantic (Soft),0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_003,Keyword (Hard),0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_004,Semantic (Soft),0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_004,Keyword (Hard),0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_005,Semantic (Soft),0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_005,Keyword (Hard),0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
