case_id,variant,max_severity,precision_at_k,recall_at_k,f1_at_k,ndcg_at_k,map,mrr
CASE_001,Severity Prior,5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_001,Uniform Prior,5,0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_002,Severity Prior,4,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_002,Uniform Prior,4,0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_003,Severity Prior,3,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_003,Uniform Prior,3,0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_004,Severity Prior,5,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_004,Uniform Prior,5,0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
CASE_005,Severity Prior,3,0.6,1.0,0.7499999999999999,1.0,1.0,1.0
CASE_005,Uniform Prior,3,0.4,0.6666666666666666,0.5,0.7653606369886217,0.6666666666666666,1.0
