method,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR,retrieval_time
basic,CHILD_001,moderate,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,10.875756025314331
basic,CHILD_002,complex,0.8,0.8,0.8000000000000002,0.49479222926951455,0.821111111111111,1.0,1.6654088497161865
basic,CHILD_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0570428371429443
basic,CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6659090909090909,1.0,1.070591926574707
basic,CHILD_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,0.907416820526123
basic,ELDER_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.936316967010498
basic,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.2076961994171143
basic,ELDER_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9589848518371582
basic,ELDER_004,complex,0.6,0.375,0.4615384615384615,0.6843515475204855,0.6715277777777777,1.0,1.2573192119598389
basic,ELDER_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9873700141906738
basic,ELDER_006,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1599311828613281
basic,ELDER_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,3.6687848567962646
basic,ELDER_008,complex,0.4,0.6666666666666666,0.5,0.5792374606819809,0.5555555555555555,0.5,1.6663386821746826
basic,ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.2730770111083984
basic,ELDER_010,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,6.8828840255737305
basic,DISABLED_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,2.2497873306274414
basic,DISABLED_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.8827362060546875
basic,DISABLED_003,complex,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0,1.38022780418396
basic,DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.14583333333333331,0.125,1.3439691066741943
basic,DISABLED_005,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9753971099853516
basic,DISABLED_006,moderate,0.4,0.5,0.4444444444444445,0.7424693355471289,0.47435897435897434,1.0,1.2582519054412842
basic,DISABLED_007,complex,0.6,0.5,0.5454545454545454,0.7943233365467345,0.6736111111111112,1.0,1.121034860610962
basic,DISABLED_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0964930057525635
basic,DISABLED_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9166200160980225
basic,DISABLED_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0750212669372559
basic,HOMELESS_001,moderate,0.2,0.25,0.22222222222222224,0.4396592698888862,0.4202380952380952,1.0,1.0817348957061768
basic,HOMELESS_002,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.2648320198059082
basic,HOMELESS_003,simple,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,0.9968509674072266
basic,HOMELESS_004,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0399818420410156
basic,HOMELESS_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.1532790660858154
basic,MENTAL_001,moderate,0.4,0.5,0.4444444444444445,0.6290102109696928,0.573051948051948,1.0,1.2578489780426025
basic,MENTAL_002,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.442493200302124
basic,MENTAL_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9891111850738525
basic,MENTAL_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.232079029083252
basic,MENTAL_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9704849720001221
basic,MENTAL_006,complex,0.2,1.0,0.33333333333333337,0.38685280723454163,0.2,0.2,1.162409782409668
basic,MENTAL_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9392940998077393
