method,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR,retrieval_time
basic,CHILD_001,moderate,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,10.4534912109375
basic,CHILD_002,complex,0.8,0.8,0.8000000000000002,0.49479222926951455,0.821111111111111,1.0,1.7196159362792969
basic,CHILD_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.4643330574035645
basic,CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6659090909090909,1.0,1.437525749206543
basic,CHILD_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.2370731830596924
basic,ELDER_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0136950016021729
basic,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.2278661727905273
basic,ELDER_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.1778159141540527
basic,ELDER_004,complex,0.6,0.375,0.4615384615384615,0.6843515475204855,0.6715277777777777,1.0,1.3200829029083252
basic,ELDER_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.1353538036346436
basic,ELDER_006,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.2398278713226318
basic,ELDER_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.334679126739502
basic,ELDER_008,complex,0.4,0.6666666666666666,0.5,0.5792374606819809,0.5555555555555555,0.5,1.3812479972839355
basic,ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.1806471347808838
basic,ELDER_010,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.860579252243042
basic,DISABLED_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.643589973449707
basic,DISABLED_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.3432481288909912
basic,DISABLED_003,complex,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0,1.4740662574768066
basic,DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.14583333333333331,0.125,1.4798970222473145
basic,DISABLED_005,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9265496730804443
basic,DISABLED_006,moderate,0.4,0.5,0.4444444444444445,0.7424693355471289,0.47435897435897434,1.0,1.2595329284667969
basic,DISABLED_007,complex,0.6,0.5,0.5454545454545454,0.7943233365467345,0.6736111111111112,1.0,1.480215072631836
basic,DISABLED_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.3518319129943848
basic,DISABLED_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.955780029296875
basic,DISABLED_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1599199771881104
basic,HOMELESS_001,moderate,0.2,0.25,0.22222222222222224,0.4396592698888862,0.4202380952380952,1.0,1.150602102279663
basic,HOMELESS_002,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.4954252243041992
basic,HOMELESS_003,simple,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,0.951030969619751
basic,HOMELESS_004,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0175621509552002
basic,HOMELESS_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.171328067779541
basic,MENTAL_001,moderate,0.4,0.5,0.4444444444444445,0.6290102109696928,0.573051948051948,1.0,1.3120777606964111
basic,MENTAL_002,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.1786668300628662
basic,MENTAL_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9190318584442139
basic,MENTAL_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.1965358257293701
basic,MENTAL_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.132939100265503
basic,MENTAL_006,complex,0.2,1.0,0.33333333333333337,0.38685280723454163,0.2,0.2,1.42134690284729
basic,MENTAL_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0272061824798584
basic,MENTAL_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.5762848854064941
basic,MENTAL_009,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.1288609504699707
basic,MENTAL_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0786190032958984
basic,SUBSTANCE_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0150141716003418
basic,SUBSTANCE_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0905139446258545
basic,SUBSTANCE_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8818891048431396
basic,SUBSTANCE_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0276551246643066
basic,NCD_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9660108089447021
basic,NCD_002,moderate,0.0,0.0,0.0,0.0,0.1,0.1,0.9941489696502686
basic,NCD_003,moderate,0.4,0.4,0.4000000000000001,0.5087403079104241,0.5071428571428571,1.0,0.9275500774383545
basic,NCD_004,complex,0.0,0.0,0.0,0.0,0.125,0.125,1.3510231971740723
basic,NCD_005,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.2701377868652344
basic,NCD_006,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0494999885559082
basic,NCD_007,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.3645379543304443
basic,NCD_008,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.300351858139038
basic,NCD_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0304889678955078
basic,NCD_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1086649894714355
basic,HIV_TB_001,moderate,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,1.2388179302215576
basic,HIV_TB_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.6716129779815674
basic,HIV_TB_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9802389144897461
basic,HIV_TB_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0678761005401611
basic,HIV_TB_005,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.551185131072998
basic,BEDRIDDEN_001,complex,0.6,0.5,0.5454545454545454,0.6843515475204855,0.7120731120731122,1.0,1.1127090454101562
basic,BEDRIDDEN_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0826129913330078
basic,BEDRIDDEN_003,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1421070098876953
basic,BEDRIDDEN_004,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.2559208869934082
basic,BEDRIDDEN_005,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9779658317565918
basic,BEDRIDDEN_006,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8332400321960449
basic,BEDRIDDEN_007,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9335720539093018
basic,BEDRIDDEN_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9808592796325684
basic,BEDRIDDEN_009,moderate,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0,0.860414981842041
h2l-hybrid,CHILD_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.309335947036743
h2l-hybrid,CHILD_002,complex,0.6,0.6,0.6,0.4166158115319974,0.7944444444444445,1.0,4.6242592334747314
h2l-hybrid,CHILD_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,2.0566892623901367
h2l-hybrid,CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6833333333333333,1.0,2.2270400524139404
h2l-hybrid,CHILD_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.6242179870605469
h2l-hybrid,ELDER_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,2.443909168243408
h2l-hybrid,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0,5.622228145599365
h2l-hybrid,ELDER_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.5396418571472168
h2l-hybrid,ELDER_004,complex,0.6,0.375,0.4615384615384615,0.6843515475204855,0.6838945776445777,1.0,3.7439260482788086
h2l-hybrid,ELDER_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.2593791484832764
h2l-hybrid,ELDER_006,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.0739850997924805
h2l-hybrid,ELDER_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.9775011539459229
h2l-hybrid,ELDER_008,complex,0.4,0.6666666666666666,0.5,0.562455901550729,0.4761904761904762,0.5,5.03617000579834
h2l-hybrid,ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,3.4531309604644775
h2l-hybrid,ELDER_010,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,7.845717191696167
h2l-hybrid,DISABLED_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,2.05424427986145
h2l-hybrid,DISABLED_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.9965198040008545
h2l-hybrid,DISABLED_003,complex,0.2,0.5,0.28571428571428575,0.6131471927654584,0.6666666666666666,1.0,2.309229850769043
