variant,metric,p_value,significant,effect_size_d,mean_diff
w/o Adaptive Alpha,nDCG@5,1.0,False,0.0,0.0
w/o Bayesian Prior,nDCG@5,1.0,False,0.0,0.0
w/o IDF Specificity,nDCG@5,1.0,False,0.0,0.0
w/o Margin Activation,nDCG@5,1.0,False,0.0,0.0
w/o KL Penalty,nDCG@5,1.0,False,0.0,0.0
w/o Negation Gate,nDCG@5,1.0,False,0.0,0.0
Product Feature Mode,nDCG@5,1.0,False,0.0,0.0
w/o Adaptive Alpha,h2l_mean_top5,1.0,False,0.0,0.0
w/o Bayesian Prior,h2l_mean_top5,1.0,False,0.0,0.0
w/o IDF Specificity,h2l_mean_top5,1.0,False,0.0,0.0
w/o Margin Activation,h2l_mean_top5,1.0,False,0.0,0.0
w/o KL Penalty,h2l_mean_top5,1.0,False,0.0,0.0
w/o Negation Gate,h2l_mean_top5,1.0,False,0.0,0.0
Product Feature Mode,h2l_mean_top5,1.0,False,0.0,0.0
