variant,case_id,complexity,category,P@5,R@5,F1@5,nDCG@5,MAP,MRR,rank_changed_at5,mean_abs_score_delta,n_detected_problems,h2l_mean_top5
Full V6,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0937117130446002,2,0.7844801880000001
Full V6,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0,False,0.5040378302305213,5,3.0407972260000005
Full V6,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.09495710068370418,2,0.7728148939999999
Full V6,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0,False,0.22856925289819335,3,1.577727216
Full V6,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04989887136298358,0,0.029469802
Full V6,ELDER_001,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.03889280130597038,1,0.45713059000000006
Full V6,ELDER_002,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0699778115745042,7,12.479694462000001
Full V6,ELDER_003,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.08890714450664797,2,0.726082758
Full V6,ELDER_004,complex,ผู้สูงอายุ,0.6,0.375,0.4615384615384615,0.6843515475204855,0.705384199134199,1.0,False,2.2026263739183616,10,10.668373407999999
Full V6,ELDER_005,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.15516347816443435,2,1.102542808
Full V6,ELDER_006,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.8680152579661721,5,4.844029206
Full V6,ELDER_007,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05053300915366159,0,0.031301532
Full V6,ELDER_008,complex,ผู้สูงอายุ,0.4,0.5,0.4444444444444445,0.4232448892278954,0.42658730158730157,0.3333333333333333,False,1.2986890937647046,6,6.988800512
Full V6,ELDER_009,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,0.4662274762685407,4,2.5958326679999995
Full V6,ELDER_010,complex,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.38351799134594244,3,2.4704080140000007
Full V6,DISABLED_001,simple,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.11433395193546955,2,0.9114624040000001
Full V6,DISABLED_002,moderate,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.09347909086121205,2,0.764845466
Full V6,DISABLED_003,complex,คนพิการ,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5833333333333334,1.0,False,0.03202735000625205,1,0.40815355000000003
Full V6,DISABLED_004,moderate,คนพิการ,0.0,0.0,0.0,0.0,0.1,0.1,False,0.23658139001350578,3,1.6018565659999997
Full V6,DISABLED_005,simple,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.2441212365684159,3,1.661557178
Full V6,DISABLED_006,moderate,คนพิการ,0.4,1.0,0.5714285714285715,0.944847956559586,0.75,1.0,False,0.6785391356494355,4,3.946336712000001
Full V6,DISABLED_007,complex,คนพิการ,0.8,0.5714285714285714,0.6666666666666666,0.8989584458539029,0.7204295704295703,1.0,False,0.6474887086939188,8,3.9412145880000002
Full V6,DISABLED_008,moderate,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.5170529573500505,3,2.622649436
Full V6,DISABLED_009,simple,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.14126194138022735,2,1.132348184
