method,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR,retrieval_time
basic,CHILD_001,moderate,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,6.992862939834595
basic,CHILD_002,complex,0.8,0.8,0.8000000000000002,0.49479222926951455,0.821111111111111,1.0,1.5549108982086182
basic,CHILD_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0064072608947754
basic,CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6659090909090909,1.0,1.070796012878418
basic,CHILD_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,0.8996310234069824
basic,ELDER_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.909963846206665
basic,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.1501660346984863
basic,ELDER_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9373619556427002
basic,ELDER_004,complex,0.6,0.375,0.4615384615384615,0.6843515475204855,0.6715277777777777,1.0,1.2272210121154785
basic,ELDER_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9109020233154297
basic,ELDER_006,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0252609252929688
basic,ELDER_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9231789112091064
basic,ELDER_008,complex,0.4,0.6666666666666666,0.5,0.5792374606819809,0.5555555555555555,0.5,1.0988223552703857
basic,ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,0.9746749401092529
basic,ELDER_010,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.4563639163970947
basic,DISABLED_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.4048550128936768
basic,DISABLED_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1423118114471436
basic,DISABLED_003,complex,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0,1.1775329113006592
basic,DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.14583333333333331,0.125,1.2047119140625
basic,DISABLED_005,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9021561145782471
basic,DISABLED_006,moderate,0.4,0.5,0.4444444444444445,0.7424693355471289,0.47435897435897434,1.0,1.2104768753051758
basic,DISABLED_007,complex,0.6,0.5,0.5454545454545454,0.7943233365467345,0.6736111111111112,1.0,1.1035890579223633
basic,DISABLED_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.043468952178955
basic,DISABLED_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9051539897918701
basic,DISABLED_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.070112943649292
basic,HOMELESS_001,moderate,0.2,0.25,0.22222222222222224,0.4396592698888862,0.4202380952380952,1.0,0.9179158210754395
basic,HOMELESS_002,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.052358865737915
basic,HOMELESS_003,simple,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,0.9009017944335938
basic,HOMELESS_004,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9791660308837891
basic,HOMELESS_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.1215381622314453
basic,MENTAL_001,moderate,0.4,0.5,0.4444444444444445,0.6290102109696928,0.573051948051948,1.0,0.9626939296722412
basic,MENTAL_002,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.1403248310089111
basic,MENTAL_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8642029762268066
basic,MENTAL_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.2574958801269531
basic,MENTAL_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.957787036895752
basic,MENTAL_006,complex,0.2,1.0,0.33333333333333337,0.38685280723454163,0.2,0.2,1.158945083618164
basic,MENTAL_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9363481998443604
basic,MENTAL_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.075329065322876
basic,MENTAL_009,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.1226952075958252
basic,MENTAL_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.038964033126831
basic,SUBSTANCE_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.957636833190918
basic,SUBSTANCE_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0245881080627441
basic,SUBSTANCE_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8318619728088379
basic,SUBSTANCE_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9851028919219971
basic,NCD_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8936100006103516
basic,NCD_002,moderate,0.0,0.0,0.0,0.0,0.1,0.1,0.9417929649353027
basic,NCD_003,moderate,0.4,0.4,0.4000000000000001,0.5087403079104241,0.5071428571428571,1.0,0.8699691295623779
basic,NCD_004,complex,0.0,0.0,0.0,0.0,0.125,0.125,1.1328229904174805
basic,NCD_005,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8070709705352783
basic,NCD_006,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.2784621715545654
