method,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR,retrieval_time
basic,CHILD_001,moderate,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,9.975114822387695
basic,CHILD_002,complex,0.8,0.8,0.8000000000000002,0.49479222926951455,0.821111111111111,1.0,1.787693977355957
basic,CHILD_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.2274539470672607
basic,CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6659090909090909,1.0,1.0953049659729004
basic,CHILD_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,0.9205760955810547
basic,ELDER_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.94704270362854
basic,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.244563102722168
basic,ELDER_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.927858829498291
basic,ELDER_004,complex,0.6,0.375,0.4615384615384615,0.6843515475204855,0.6715277777777777,1.0,1.2410979270935059
basic,ELDER_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.1380300521850586
basic,ELDER_006,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.060539960861206
basic,ELDER_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0049388408660889
basic,ELDER_008,complex,0.4,0.6666666666666666,0.5,0.5792374606819809,0.5555555555555555,0.5,1.1120798587799072
basic,ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.0172219276428223
basic,ELDER_010,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.8295791149139404
basic,DISABLED_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.2972009181976318
basic,DISABLED_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9779462814331055
basic,DISABLED_003,complex,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0,1.1565470695495605
basic,DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.14583333333333331,0.125,1.2406272888183594
