variant,case_id,complexity,category,P@5,R@5,F1@5,nDCG@5,MAP,MRR,rank_changed_at5,mean_abs_score_delta,n_detected_problems
Full V6,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.09371172310600244,2
Full V6,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0,False,0.504037400346632,5
Full V6,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.09495710852587509,2
Full V6,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0,False,0.29426058361760504,4
Full V6,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04989887134406609,0
Full V6,ELDER_001,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.03889277436255863,1
Full V6,ELDER_002,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0155415569668724,6
Full V6,ELDER_003,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.08890711876481354,2
Full V6,ELDER_004,complex,ผู้สูงอายุ,0.6,0.375,0.4615384615384615,0.6843515475204855,0.705384199134199,1.0,False,2.202621704322999,10
Full V6,ELDER_005,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.15516339358903106,2
Full V6,ELDER_006,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.8680134137044864,5
Full V6,ELDER_007,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05053302983350959,0
Full V6,ELDER_008,complex,ผู้สูงอายุ,0.4,0.5,0.4444444444444445,0.4232448892278954,0.42658730158730157,0.3333333333333333,False,1.2986883511852183,6
Full V6,ELDER_009,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,0.4662274325983968,4
Full V6,ELDER_010,complex,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.3835172417088766,3
Full V6,DISABLED_001,simple,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.11433389160493752,2
Full V6,DISABLED_002,moderate,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.09347907552178161,2
Full V6,DISABLED_003,complex,คนพิการ,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5833333333333334,1.0,False,0.0320273158270673,1
Full V6,DISABLED_004,moderate,คนพิการ,0.0,0.0,0.0,0.0,0.1,0.1,False,0.23658138686210292,3
Full V6,DISABLED_005,simple,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.24412109052176117,3
w/o Adaptive Alpha,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0934812492136276,2
w/o Adaptive Alpha,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0,False,0.20388039927225013,5
w/o Adaptive Alpha,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0935422860852253,2
w/o Adaptive Alpha,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0,False,0.16453304024773005,4
w/o Adaptive Alpha,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04989887134406609,0
w/o Adaptive Alpha,ELDER_001,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04787929288965378,1
w/o Adaptive Alpha,ELDER_002,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,1.1173575911906921,6
w/o Adaptive Alpha,ELDER_003,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.08889179666649143,2
w/o Adaptive Alpha,ELDER_004,complex,ผู้สูงอายุ,0.6,0.375,0.4615384615384615,0.6843515475204855,0.705384199134199,1.0,False,1.2041797844351703,10
w/o Adaptive Alpha,ELDER_005,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.15313487183822394,2
w/o Adaptive Alpha,ELDER_006,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.34710526008573434,5
w/o Adaptive Alpha,ELDER_007,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05053302983350959,0
w/o Adaptive Alpha,ELDER_008,complex,ผู้สูงอายุ,0.4,0.5,0.4444444444444445,0.4232448892278954,0.42658730158730157,0.3333333333333333,False,0.4087007183926943,6
w/o Adaptive Alpha,ELDER_009,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,0.24253412941162203,4
w/o Adaptive Alpha,ELDER_010,complex,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.27748592067476463,3
w/o Adaptive Alpha,DISABLED_001,simple,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.11279531849165206,2
w/o Adaptive Alpha,DISABLED_002,moderate,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.09243301952445272,2
w/o Adaptive Alpha,DISABLED_003,complex,คนพิการ,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5833333333333334,1.0,False,0.041254817732860896,1
w/o Adaptive Alpha,DISABLED_004,moderate,คนพิการ,0.0,0.0,0.0,0.0,0.1,0.1,False,0.17616490788496705,3
w/o Adaptive Alpha,DISABLED_005,simple,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.17773104479278948,3
w/o Bayesian Prior,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.11649550990234976,2
w/o Bayesian Prior,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0,False,0.610837026553171,5
w/o Bayesian Prior,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.11598197812991752,2
w/o Bayesian Prior,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0,False,0.3670423428983715,4
w/o Bayesian Prior,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04989887134406609,0
w/o Bayesian Prior,ELDER_001,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04724289301367808,1
w/o Bayesian Prior,ELDER_002,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,3.5359425380801706,6
w/o Bayesian Prior,ELDER_003,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.11100808494772878,2
w/o Bayesian Prior,ELDER_004,complex,ผู้สูงอายุ,0.6,0.375,0.4615384615384615,0.6843515475204855,0.705384199134199,1.0,False,2.502918120396153,10
w/o Bayesian Prior,ELDER_005,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.1892235484186969,2
w/o Bayesian Prior,ELDER_006,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,1.0394975808471372,5
w/o Bayesian Prior,ELDER_007,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05053302983350959,0
w/o Bayesian Prior,ELDER_008,complex,ผู้สูงอายุ,0.4,0.5,0.4444444444444445,0.4232448892278954,0.42658730158730157,0.3333333333333333,False,1.587197888896071,6
w/o Bayesian Prior,ELDER_009,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,0.5422776193208602,4
w/o Bayesian Prior,ELDER_010,complex,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.4505757935534981,3
w/o Bayesian Prior,DISABLED_001,simple,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.13924335065935575,2
w/o Bayesian Prior,DISABLED_002,moderate,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.11448266134234647,2
w/o Bayesian Prior,DISABLED_003,complex,คนพิการ,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5833333333333334,1.0,False,0.043497739236464494,1
w/o Bayesian Prior,DISABLED_004,moderate,คนพิการ,0.0,0.0,0.0,0.0,0.1,0.1,False,0.29114087050845827,3
w/o Bayesian Prior,DISABLED_005,simple,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.29121194843068826,3
w/o IDF Specificity,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.07519686790879644,2
w/o IDF Specificity,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0,False,0.35964081002875975,5
w/o IDF Specificity,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.07691549633464295,2
w/o IDF Specificity,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0,False,0.21742198697643214,4
w/o IDF Specificity,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04989887134406609,0
w/o IDF Specificity,ELDER_001,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.03349653676321684,1
w/o IDF Specificity,ELDER_002,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,2.6724501513120456,6
w/o IDF Specificity,ELDER_003,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.07139522431011135,2
w/o IDF Specificity,ELDER_004,complex,ผู้สูงอายุ,0.6,0.375,0.4615384615384615,0.6843515475204855,0.705384199134199,1.0,False,2.202621704322999,10
w/o IDF Specificity,ELDER_005,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.12505875592278262,2
w/o IDF Specificity,ELDER_006,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.6200982957660741,5
w/o IDF Specificity,ELDER_007,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05053302983350959,0
w/o IDF Specificity,ELDER_008,complex,ผู้สูงอายุ,0.4,0.5,0.4444444444444445,0.4232448892278954,0.42658730158730157,0.3333333333333333,False,0.891197596393599,6
w/o IDF Specificity,ELDER_009,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,0.3479885824997762,4
w/o IDF Specificity,ELDER_010,complex,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.2986351840883191,3
w/o IDF Specificity,DISABLED_001,simple,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.09212292756720201,2
w/o IDF Specificity,DISABLED_002,moderate,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.07527436487298214,2
w/o IDF Specificity,DISABLED_003,complex,คนพิการ,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5833333333333334,1.0,False,0.02714930645098144,1
w/o IDF Specificity,DISABLED_004,moderate,คนพิการ,0.0,0.0,0.0,0.0,0.1,0.1,False,0.18417650239909616,3
w/o IDF Specificity,DISABLED_005,simple,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.18871348140089153,3
w/o Margin Activation,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.09316917356988792,2
w/o Margin Activation,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0,False,0.49757224145055,5
w/o Margin Activation,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.09472789221531834,2
w/o Margin Activation,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0,False,0.29083613647769724,4
w/o Margin Activation,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04989887134406609,0
w/o Margin Activation,ELDER_001,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.038754085851255046,1
w/o Margin Activation,ELDER_002,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0155415569668724,6
w/o Margin Activation,ELDER_003,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0885676879775976,2
w/o Margin Activation,ELDER_004,complex,ผู้สูงอายุ,0.6,0.375,0.4615384615384615,0.6843515475204855,0.705384199134199,1.0,False,2.202621704322999,10
w/o Margin Activation,ELDER_005,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.15298181277670364,2
w/o Margin Activation,ELDER_006,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.8486426990773546,5
w/o Margin Activation,ELDER_007,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05053302983350959,0
w/o Margin Activation,ELDER_008,complex,ผู้สูงอายุ,0.4,0.5,0.4444444444444445,0.4232448892278954,0.42658730158730157,0.3333333333333333,False,1.2620511405808448,6
w/o Margin Activation,ELDER_009,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,0.4585795533770278,4
w/o Margin Activation,ELDER_010,complex,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.3759400028531908,3
w/o Margin Activation,DISABLED_001,simple,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.11360146101632647,2
w/o Margin Activation,DISABLED_002,moderate,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.09289223051084902,2
w/o Margin Activation,DISABLED_003,complex,คนพิการ,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5833333333333334,1.0,False,0.03196003591954639,1
w/o Margin Activation,DISABLED_004,moderate,คนพิการ,0.0,0.0,0.0,0.0,0.1,0.1,False,0.23409559051349577,3
w/o Margin Activation,DISABLED_005,simple,คนพิการ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.2417641396795769,3
w/o KL Penalty,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.09371172310600244,2
w/o KL Penalty,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0,False,0.5057433635092637,5
w/o KL Penalty,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0952514133735061,2
w/o KL Penalty,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0,False,0.29426058361760504,4
w/o KL Penalty,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04989887134406609,0
w/o KL Penalty,ELDER_001,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.03889277436255863,1
w/o KL Penalty,ELDER_002,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0155415569668724,6
w/o KL Penalty,ELDER_003,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.08890711876481354,2
w/o KL Penalty,ELDER_004,complex,ผู้สูงอายุ,0.6,0.375,0.4615384615384615,0.6843515475204855,0.705384199134199,1.0,False,2.202621704322999,10
