slice,variant,metric,Full_V6_mean,ablated_mean,delta,n_cases
negation,w/o Adaptive Alpha,nDCG@5,0.1159,0.1159,0.0,36
negation,w/o Adaptive Alpha,MAP,0.1291,0.1291,0.0,36
negation,w/o Adaptive Alpha,MRR,0.172,0.172,0.0,36
negation,w/o Bayesian Prior,nDCG@5,0.1159,0.1159,0.0,36
negation,w/o Bayesian Prior,MAP,0.1291,0.1291,0.0,36
negation,w/o Bayesian Prior,MRR,0.172,0.172,0.0,36
negation,w/o IDF Specificity,nDCG@5,0.1159,0.1159,0.0,36
negation,w/o IDF Specificity,MAP,0.1291,0.1291,0.0,36
negation,w/o IDF Specificity,MRR,0.172,0.172,0.0,36
negation,w/o Margin Activation,nDCG@5,0.1159,0.1201,-0.0042,36
negation,w/o Margin Activation,MAP,0.1291,0.1298,-0.0007,36
negation,w/o Margin Activation,MRR,0.172,0.172,0.0,36
negation,w/o KL Penalty,nDCG@5,0.1159,0.1159,0.0,36
negation,w/o KL Penalty,MAP,0.1291,0.1291,0.0,36
negation,w/o KL Penalty,MRR,0.172,0.172,0.0,36
negation,w/o Negation Gate,nDCG@5,0.1159,0.1159,0.0,36
negation,w/o Negation Gate,MAP,0.1291,0.1291,0.0,36
negation,w/o Negation Gate,MRR,0.172,0.172,0.0,36
negation,Product Feature Mode,nDCG@5,0.1159,0.1201,-0.0042,36
negation,Product Feature Mode,MAP,0.1291,0.1298,-0.0007,36
negation,Product Feature Mode,MRR,0.172,0.172,0.0,36
non_negation,w/o Adaptive Alpha,nDCG@5,0.3914,0.3914,0.0,161
non_negation,w/o Adaptive Alpha,MAP,0.3937,0.3937,0.0,161
non_negation,w/o Adaptive Alpha,MRR,0.4487,0.4487,0.0,161
non_negation,w/o Bayesian Prior,nDCG@5,0.3914,0.3914,0.0,161
non_negation,w/o Bayesian Prior,MAP,0.3937,0.3937,0.0,161
non_negation,w/o Bayesian Prior,MRR,0.4487,0.4487,0.0,161
