variant,case_id,complexity,category,P@5,R@5,F1@5,nDCG@5,MAP,MRR
Full V6,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
Full V6,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0
Full V6,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
Full V6,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0
Full V6,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Adaptive Alpha,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Adaptive Alpha,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0
w/o Adaptive Alpha,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Adaptive Alpha,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0
w/o Adaptive Alpha,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Bayesian Prior,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Bayesian Prior,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0
w/o Bayesian Prior,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Bayesian Prior,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0
w/o Bayesian Prior,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o IDF Specificity,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o IDF Specificity,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0
w/o IDF Specificity,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o IDF Specificity,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0
w/o IDF Specificity,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Margin Activation,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Margin Activation,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0
w/o Margin Activation,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Margin Activation,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0
w/o Margin Activation,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o KL Penalty,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o KL Penalty,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0
w/o KL Penalty,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o KL Penalty,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0
w/o KL Penalty,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Negation Gate,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Negation Gate,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0
w/o Negation Gate,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
w/o Negation Gate,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0
w/o Negation Gate,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
Product Feature Mode,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
Product Feature Mode,CHILD_002,complex,เด็กและเยาวชน,0.8,0.8,0.8000000000000002,0.5088013258915567,0.9028571428571428,1.0
Product Feature Mode,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
Product Feature Mode,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6519230769230768,1.0
Product Feature Mode,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0
