slice,variant,metric,Full_V6_mean,ablated_mean,delta,n_cases
high_severity,w/o Adaptive Alpha,nDCG@5,0.3252,0.3252,0.0,19
high_severity,w/o Adaptive Alpha,MAP,0.2976,0.2976,0.0,19
high_severity,w/o Adaptive Alpha,MRR,0.3242,0.3242,0.0,19
high_severity,w/o Bayesian Prior,nDCG@5,0.3252,0.3252,0.0,19
high_severity,w/o Bayesian Prior,MAP,0.2976,0.2976,0.0,19
high_severity,w/o Bayesian Prior,MRR,0.3242,0.3242,0.0,19
high_severity,w/o IDF Specificity,nDCG@5,0.3252,0.3252,0.0,19
high_severity,w/o IDF Specificity,MAP,0.2976,0.2976,0.0,19
high_severity,w/o IDF Specificity,MRR,0.3242,0.3242,0.0,19
high_severity,w/o Margin Activation,nDCG@5,0.3252,0.3252,0.0,19
high_severity,w/o Margin Activation,MAP,0.2976,0.2976,0.0,19
high_severity,w/o Margin Activation,MRR,0.3242,0.3242,0.0,19
high_severity,w/o KL Penalty,nDCG@5,0.3252,0.3252,0.0,19
high_severity,w/o KL Penalty,MAP,0.2976,0.2976,0.0,19
high_severity,w/o KL Penalty,MRR,0.3242,0.3242,0.0,19
high_severity,w/o Negation Gate,nDCG@5,0.3252,0.3252,0.0,19
high_severity,w/o Negation Gate,MAP,0.2976,0.2976,0.0,19
high_severity,w/o Negation Gate,MRR,0.3242,0.3242,0.0,19
high_severity,Product Feature Mode,nDCG@5,0.3252,0.3252,0.0,19
high_severity,Product Feature Mode,MAP,0.2976,0.2976,0.0,19
high_severity,Product Feature Mode,MRR,0.3242,0.3242,0.0,19
complex_cases,w/o Adaptive Alpha,nDCG@5,0.5174,0.5174,0.0,20
complex_cases,w/o Adaptive Alpha,MAP,0.5186,0.5186,0.0,20
complex_cases,w/o Adaptive Alpha,MRR,0.5889,0.5889,0.0,20
complex_cases,w/o Bayesian Prior,nDCG@5,0.5174,0.5174,0.0,20
complex_cases,w/o Bayesian Prior,MAP,0.5186,0.5186,0.0,20
complex_cases,w/o Bayesian Prior,MRR,0.5889,0.5889,0.0,20
complex_cases,w/o IDF Specificity,nDCG@5,0.5174,0.5174,0.0,20
complex_cases,w/o IDF Specificity,MAP,0.5186,0.5186,0.0,20
complex_cases,w/o IDF Specificity,MRR,0.5889,0.5889,0.0,20
complex_cases,w/o Margin Activation,nDCG@5,0.5174,0.5174,0.0,20
complex_cases,w/o Margin Activation,MAP,0.5186,0.5186,0.0,20
complex_cases,w/o Margin Activation,MRR,0.5889,0.5889,0.0,20
complex_cases,w/o KL Penalty,nDCG@5,0.5174,0.5174,0.0,20
complex_cases,w/o KL Penalty,MAP,0.5186,0.5186,0.0,20
complex_cases,w/o KL Penalty,MRR,0.5889,0.5889,0.0,20
complex_cases,w/o Negation Gate,nDCG@5,0.5174,0.5174,0.0,20
complex_cases,w/o Negation Gate,MAP,0.5186,0.5186,0.0,20
complex_cases,w/o Negation Gate,MRR,0.5889,0.5889,0.0,20
complex_cases,Product Feature Mode,nDCG@5,0.5174,0.5174,0.0,20
complex_cases,Product Feature Mode,MAP,0.5186,0.5186,0.0,20
complex_cases,Product Feature Mode,MRR,0.5889,0.5889,0.0,20
simple_cases,w/o Adaptive Alpha,nDCG@5,0.0894,0.0894,0.0,16
simple_cases,w/o Adaptive Alpha,MAP,0.0781,0.0781,0.0,16
simple_cases,w/o Adaptive Alpha,MRR,0.0781,0.0781,0.0,16
simple_cases,w/o Bayesian Prior,nDCG@5,0.0894,0.0894,0.0,16
simple_cases,w/o Bayesian Prior,MAP,0.0781,0.0781,0.0,16
simple_cases,w/o Bayesian Prior,MRR,0.0781,0.0781,0.0,16
simple_cases,w/o IDF Specificity,nDCG@5,0.0894,0.0894,0.0,16
simple_cases,w/o IDF Specificity,MAP,0.0781,0.0781,0.0,16
simple_cases,w/o IDF Specificity,MRR,0.0781,0.0781,0.0,16
simple_cases,w/o Margin Activation,nDCG@5,0.0894,0.0894,0.0,16
simple_cases,w/o Margin Activation,MAP,0.0781,0.0781,0.0,16
simple_cases,w/o Margin Activation,MRR,0.0781,0.0781,0.0,16
simple_cases,w/o KL Penalty,nDCG@5,0.0894,0.0894,0.0,16
simple_cases,w/o KL Penalty,MAP,0.0781,0.0781,0.0,16
simple_cases,w/o KL Penalty,MRR,0.0781,0.0781,0.0,16
simple_cases,w/o Negation Gate,nDCG@5,0.0894,0.0894,0.0,16
simple_cases,w/o Negation Gate,MAP,0.0781,0.0781,0.0,16
simple_cases,w/o Negation Gate,MRR,0.0781,0.0781,0.0,16
simple_cases,Product Feature Mode,nDCG@5,0.0894,0.0894,0.0,16
simple_cases,Product Feature Mode,MAP,0.0781,0.0781,0.0,16
simple_cases,Product Feature Mode,MRR,0.0781,0.0781,0.0,16
