model,strategy,P@5_mean,P@5_std,R@5_mean,R@5_std,F1@5_mean,F1@5_std,DCG@5_mean,DCG@5_std,IDCG@5_mean,IDCG@5_std,nDCG@5_mean,nDCG@5_std,P@10_mean,P@10_std,R@10_mean,R@10_std,F1@10_mean,F1@10_std,DCG@10_mean,DCG@10_std,IDCG@10_mean,IDCG@10_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std,F1@15_mean,F1@15_std,DCG@15_mean,DCG@15_std,IDCG@15_mean,IDCG@15_std,nDCG@15_mean,nDCG@15_std,MAP_mean,MAP_std,MRR_mean,MRR_std
qwen2.5:7b,bm25_only,0.028000000000000004,0.06974701760395541,0.11,0.2893741068882525,0.04380952380952381,0.10948720554441221,0.16557503459095904,0.527397864769235,0.6467836778214311,1.1444977337926636,0.08361239555829439,0.2269883502019257,0.029000000000000005,0.055586859867229305,0.225,0.41056133044967347,0.05075757575757576,0.09588405029755784,0.25593267402059544,0.5815334131626759,0.6467836778214311,1.1444977337926636,0.12423949149762273,0.25515275956706124,0.025333333333333333,0.043194545941613205,0.29,0.45604802157206853,0.04617647058823529,0.07769034965974922,0.3063972111183577,0.6015356905848677,0.6467836778214311,1.1444977337926636,0.14220772983930974,0.25759496403059395,0.09542193917193917,0.21493473945139957,0.10524181374181374,0.2420617899894239
qwen2.5:7b,naive_rag,0.04,0.08528028654224419,0.13666666666666666,0.30739118045687513,0.06023809523809524,0.1283389575246233,0.2567477895376774,0.6494815000984091,0.9103510334642935,1.5357790929964625,0.09729416109435952,0.21732188360425003,0.036000000000000004,0.0611671001553461,0.2333333333333333,0.3892494720807615,0.061072261072261075,0.1020560814942845,0.35986241689864573,0.7300189345171455,0.9103510334642935,1.5357790929964625,0.13323625603649755,0.2312919064210497,0.03866666666666667,0.057777777777777775,0.37,0.4852365870939099,0.06892156862745098,0.10058663111907513,0.43951511207957666,0.8179777774886178,0.9103510334642935,1.5357790929964625,0.169023090289365,0.2500257782801178,0.0996501184001184,0.1722717323424264,0.1249042624042624,0.2553803654976172
qwen2.5:7b,hyde,0.048,0.1105358847532412,0.1475,0.3256382406115675,0.06801587301587303,0.14772238776066873,0.24033085415622282,0.5876941525486332,0.8711087794114739,1.484481311212393,0.08926267972877844,0.2027037940497465,0.03900000000000001,0.07640270765734511,0.24583333333333332,0.4101981057621053,0.06462703962703963,0.1192906488704363,0.3162761783920595,0.6868798376508131,0.8711087794114739,1.484481311212393,0.12065773749878671,0.21862612926434333,0.038,0.062319548701774294,0.36,0.48241815132442173,0.0669749742002064,0.10528310162292069,0.3943680290219884,0.7537897813544842,0.8711087794114739,1.484481311212393,0.15522706850889134,0.23116089050300098,0.09703431290931291,0.18505337354186757,0.10572965922965923,0.21944417867493302
qwen2.5:7b,basic,0.04800000000000001,0.10296611191076509,0.15583333333333335,0.33785963089839083,0.07,0.14705815090566343,0.3282710487073998,0.7586023857382995,0.9413459695543323,1.6218514920987022,0.10993179334693609,0.24287311403567138,0.03900000000000001,0.06650738547884981,0.2725,0.4257190062451276,0.06607059607059608,0.10799481192219314,0.3975808762366791,0.802350686084932,0.9413459695543323,1.6218514920987022,0.14759567891967473,0.25053287582203787,0.036000000000000004,0.05949280577846317,0.36,0.4824181513244218,0.06378869969040248,0.1006950130885318,0.468965128916103,0.8905354985454076,0.9413459695543323,1.6218514920987022,0.17123837918791818,0.2619457530536425,0.1080019425019425,0.21090606263053888,0.11772161172161173,0.2310178069352679
qwen2.5:7b,h2l-bm25,0.036000000000000004,0.07722458393307384,0.14,0.32369915783199804,0.0555952380952381,0.12006605019698131,0.2050291592368305,0.518808421097027,0.7294022728928603,1.288724401272848,0.08881130689153097,0.2114471992275439,0.031,0.05978919195596705,0.22166666666666668,0.39995440256383075,0.05306526806526807,0.09943905350651938,0.27305187147883087,0.5855264758949307,0.7294022728928603,1.288724401272848,0.1167274999519326,0.22733817923317357,0.03,0.051356459874287524,0.32,0.4688261722621506,0.053848039215686275,0.08936786536917045,0.33475779131175337,0.63769073492682,0.7294022728928603,1.288724401272848,0.14398840307320848,0.2362419989856562,0.09263767713767714,0.18922410041813864,0.10692099567099567,0.22828814783495105
qwen2.5:7b,h2l-naive_rag,0.04800000000000001,0.09896433394884945,0.1725,0.35735321286226807,0.07257936507936509,0.14729999151683254,0.2851009087988168,0.7750121316700017,0.8181113113664545,1.4657442999841142,0.11308843305293864,0.2438786280975716,0.034,0.06231234454607115,0.2333333333333333,0.4075604242794346,0.05795038295038295,0.10395772910186153,0.3602608279931665,0.8226992848021146,0.8181113113664545,1.4657442999841142,0.13607616809821121,0.2532445979333065,0.032,0.054827553347387356,0.32,0.4688261722621507,0.057053663570691436,0.09453583491859274,0.4187184934550182,0.8613365804351957,0.8181113113664545,1.4657442999841142,0.1598068722221957,0.26420768082340534,0.10603629703629704,0.20864567375479512,0.12114657564657565,0.25704113472296036
qwen2.5:7b,h2l-hyde,0.044000000000000004,0.08798530639495518,0.15083333333333332,0.3262494329195978,0.06496031746031747,0.1293737289695338,0.22523561484043136,0.5551579301524795,0.8928741212235962,1.5261868746824954,0.09884351495912545,0.22567439187153912,0.043,0.07142842712828137,0.27166666666666667,0.4168551762122003,0.07173826173826174,0.11491478181818059,0.34290266524916274,0.6400248260655214,0.8928741212235962,1.5261868746824954,0.13918415071452073,0.24120845680424172,0.038,0.06513734087454376,0.33,0.47258156262526074,0.06639189886480908,0.11005404516943655,0.41147165717152495,0.7413102888470888,0.8928741212235962,1.5261868746824954,0.15793836721666066,0.25448832941188276,0.10493345543345542,0.20036014899250082,0.11892002442002442,0.24245662169380378
qwen2.5:7b,h2l-hybrid,0.046000000000000006,0.10192094381371666,0.16666666666666669,0.3615964104983586,0.07023809523809525,0.15319067721774454,0.3119310301351884,0.7832335190031011,0.8477324383928644,1.5228746596461897,0.11505735192616391,0.25951429361638595,0.034,0.05898125023079692,0.2583333333333333,0.425989967371047,0.05903263403263404,0.1003398707059023,0.38074997104738834,0.8438684453274421,0.8477324383928644,1.5228746596461897,0.14607301451782606,0.267347385409731,0.03,0.04773194889176025,0.34,0.47609522856952324,0.05438725490196078,0.0843629200250588,0.436180204934483,0.8832341371887119,0.8477324383928644,1.5228746596461897,0.1674883512522413,0.272878738891088,0.11197233322233321,0.23086525468053318,0.1198009768009768,0.2536529347141865
scb10x/llama3.1-typhoon2-8b-instruct:latest,bm25_only,0.028000000000000004,0.06974701760395541,0.11,0.2893741068882525,0.04380952380952381,0.10948720554441221,0.16557503459095904,0.527397864769235,0.6467836778214311,1.1444977337926636,0.08361239555829439,0.2269883502019257,0.029000000000000005,0.055586859867229305,0.225,0.41056133044967347,0.05075757575757576,0.09588405029755784,0.25593267402059544,0.5815334131626759,0.6467836778214311,1.1444977337926636,0.12423949149762273,0.25515275956706124,0.025333333333333333,0.043194545941613205,0.29,0.45604802157206853,0.04617647058823529,0.07769034965974922,0.3063972111183577,0.6015356905848677,0.6467836778214311,1.1444977337926636,0.14220772983930974,0.25759496403059395,0.09542193917193917,0.21493473945139957,0.10524181374181374,0.2420617899894239
scb10x/llama3.1-typhoon2-8b-instruct:latest,naive_rag,0.04,0.08528028654224419,0.13666666666666666,0.30739118045687513,0.06023809523809524,0.1283389575246233,0.2567477895376774,0.6494815000984091,0.9103510334642935,1.5357790929964625,0.09729416109435952,0.21732188360425003,0.036000000000000004,0.0611671001553461,0.2333333333333333,0.3892494720807615,0.061072261072261075,0.1020560814942845,0.35986241689864573,0.7300189345171455,0.9103510334642935,1.5357790929964625,0.13323625603649755,0.2312919064210497,0.03866666666666667,0.057777777777777775,0.37,0.4852365870939099,0.06892156862745098,0.10058663111907513,0.43951511207957666,0.8179777774886178,0.9103510334642935,1.5357790929964625,0.169023090289365,0.2500257782801178,0.0996501184001184,0.1722717323424264,0.1249042624042624,0.2553803654976172
