metric,reference,comparison,n_pairs,n_nonzero_differences,reference_mean,comparison_mean,mean_difference,median_difference,wilcoxon_statistic,raw_p,rank_biserial,holm_p,significant_0_05
nDCG@5,h2l-hybrid,bm25_only,76,23,0.2974596602515437,0.2610776321641357,0.03638202808740796,0.0,63.0,0.022517856717414714,0.5434782608695652,0.06755357015224414,False
nDCG@5,h2l-hybrid,naive_rag,76,28,0.2974596602515437,0.23923929054616266,0.05822036970538105,0.0,83.0,0.0062723960342679,0.5911330049261084,0.0250895841370716,True
nDCG@5,h2l-hybrid,hyde,76,28,0.2974596602515437,0.091451195272257,0.20600846497928674,0.0,22.0,3.6798528473200716e-05,0.8916256157635468,0.0002207911708392043,True
nDCG@5,h2l-hybrid,basic,76,13,0.2974596602515437,0.2806720577421996,0.016787602509344104,0.0,19.0,0.06403014843302322,0.5824175824175825,0.12806029686604645,False
nDCG@5,h2l-hybrid,h2l-bm25,76,22,0.2974596602515437,0.28125000704045533,0.016209653211088387,0.0,88.0,0.2112959372289166,0.30434782608695654,0.2112959372289166,False
nDCG@5,h2l-hybrid,h2l-naive_rag,76,26,0.2974596602515437,0.23897822473641492,0.058481435515128806,0.0,60.0,0.00335072274352167,0.6581196581196581,0.01675361371760835,True
nDCG@5,h2l-hybrid,h2l-hyde,76,28,0.2974596602515437,0.07709719323818061,0.2203624670133631,0.0,9.5,1.0358156118953688e-05,0.9532019704433498,7.250709283267582e-05,True
nDCG@10,h2l-hybrid,bm25_only,76,26,0.32854385760630395,0.28609071468263547,0.04245314292366847,0.0,81.0,0.016385864604931702,0.5384615384615384,0.041612042573312746,True
nDCG@10,h2l-hybrid,naive_rag,76,29,0.32854385760630395,0.2623199866886247,0.06622387091767921,0.0,53.0,0.0003750904736318682,0.7563218390804598,0.0018754523681593412,True
nDCG@10,h2l-hybrid,hyde,76,31,0.32854385760630395,0.11090859912775797,0.21763525847854603,0.0,28.0,1.5962465577887204e-05,0.8870967741935484,9.577479346732323e-05,True
nDCG@10,h2l-hybrid,basic,76,18,0.32854385760630395,0.3031201893136178,0.025423668292686153,0.0,29.0,0.013870680857770915,0.6608187134502924,0.041612042573312746,True
nDCG@10,h2l-hybrid,h2l-bm25,76,26,0.32854385760630395,0.3017532311509576,0.026790626455346356,0.0,98.0,0.049028558205982085,0.4415954415954416,0.049028558205982085,True
nDCG@10,h2l-hybrid,h2l-naive_rag,76,29,0.32854385760630395,0.271981653103519,0.05656220450278493,0.0,64.0,0.0009028823434238287,0.7057471264367816,0.0036115293736953148,True
nDCG@10,h2l-hybrid,h2l-hyde,76,32,0.32854385760630395,0.11493699578999585,0.21360686181630814,0.0,28.5,1.0548047340374469e-05,0.8920454545454546,7.383633138262128e-05,True
