case_id,strategy,num_problems,avg_confidence,num_retrieved,avg_retrieval_score,processing_time,complexity,rag_contribution,problems_from_case,evidence_rag,evidence_hybrid,evidence_case
CASE_001,basic,6,0.942,5,0.9557485000295539,0.384,complex,4,2,0,4,2
CASE_001,dynamic,6,0.967,8,0.7640927987757772,0.151,complex,4,2,0,4,2
CASE_001,multi_hop,6,0.967,15,0.9533923725491658,0.028,complex,4,2,0,4,2
CASE_001,adaptive,6,0.967,10,0.9546158794830026,0.027,complex,4,2,0,4,2
CASE_002,basic,0,0.0,5,0.9503829950187225,0.104,simple,0,0,0,0,0
CASE_002,dynamic,0,0.0,8,0.7597575611645024,0.034,simple,0,0,0,0,0
CASE_002,multi_hop,0,0.0,15,0.9474896939293646,0.027,simple,0,0,0,0,0
CASE_002,adaptive,0,0.0,10,0.9489892877720493,0.031,simple,0,0,0,0,0
CASE_003,basic,2,0.975,5,0.9520813838128956,0.087,moderate,2,0,0,2,0
CASE_003,dynamic,2,1.0,8,0.7609072097071485,0.028,moderate,2,0,0,2,0
CASE_003,multi_hop,3,0.967,15,0.9487232995813012,0.036,moderate,3,0,1,2,0
CASE_003,adaptive,2,1.0,10,0.9503918362525248,0.025,moderate,2,0,0,2,0
CASE_004,basic,1,0.9,5,0.9587646656230513,0.043,moderate,0,1,0,0,1
CASE_004,dynamic,1,0.9,8,0.7662411246206238,0.128,moderate,0,1,0,0,1
CASE_004,multi_hop,1,0.9,15,0.9559224679165033,0.076,moderate,0,1,0,0,1
CASE_004,adaptive,1,0.9,10,0.9571649348406288,0.038,moderate,0,1,0,0,1
CASE_005,basic,1,0.95,5,0.9533052188019859,0.084,moderate,1,0,0,1,0
CASE_005,dynamic,1,1.0,8,0.7618993262650925,0.026,moderate,1,0,0,1,0
CASE_005,multi_hop,1,1.0,15,0.9511825178615362,0.029,moderate,1,0,0,1,0
CASE_005,adaptive,1,1.0,10,0.9519493023981351,0.029,moderate,1,0,0,1,0
CASE_006,basic,1,0.95,5,0.9473440891272584,0.04,moderate,1,0,0,1,0
CASE_006,dynamic,1,1.0,8,0.7571774638560729,0.207,moderate,1,0,0,1,0
CASE_006,multi_hop,1,1.0,15,0.9443562231916011,0.126,moderate,1,0,0,1,0
CASE_006,adaptive,1,0.98,10,0.9457661867184666,0.746,moderate,1,0,0,1,0
CASE_007,basic,1,0.9,5,0.9589453371564922,0.572,moderate,0,1,0,0,1
CASE_007,dynamic,1,0.9,5,0.7671562697251936,0.041,moderate,0,1,0,0,1
CASE_007,multi_hop,1,1.0,15,0.9563053921714817,0.028,moderate,1,0,0,1,0
CASE_007,adaptive,1,0.9,10,0.9571894396647783,0.028,moderate,0,1,0,0,1
CASE_008,basic,0,0.0,5,0.9382963582458904,0.08,simple,0,0,0,0,0
CASE_008,dynamic,0,0.0,5,0.7506370865967125,0.07,simple,0,0,0,0,0
CASE_008,multi_hop,0,0.0,15,0.9345727140015812,0.039,simple,0,0,0,0,0
CASE_008,adaptive,0,0.0,10,0.9361461432109763,0.046,simple,0,0,0,0,0
CASE_009,basic,0,0.0,5,0.9493269854701252,0.109,simple,0,0,0,0,0
CASE_009,dynamic,0,0.0,8,0.7583972253096445,0.15,simple,0,0,0,0,0
CASE_009,multi_hop,0,0.0,15,0.9464384453194258,0.03,simple,0,0,0,0,0
CASE_009,adaptive,0,0.0,10,0.947372918344963,1.46,simple,0,0,0,0,0
CASE_010,basic,0,0.0,5,0.9616588784886139,0.228,simple,0,0,0,0,0
CASE_010,dynamic,0,0.0,5,0.7693271027908911,0.371,simple,0,0,0,0,0
CASE_010,multi_hop,0,0.0,15,0.9588459281432798,0.038,simple,0,0,0,0,0
CASE_010,adaptive,0,0.0,10,0.9599106766276453,0.036,simple,0,0,0,0,0
CASE_011,basic,0,0.0,5,0.9331581056139221,0.477,simple,0,0,0,0,0
CASE_011,dynamic,0,0.0,5,0.7465264844911379,0.268,simple,0,0,0,0,0
CASE_011,multi_hop,0,0.0,15,0.9299724619281455,0.215,simple,0,0,0,0,0
CASE_011,adaptive,0,0.0,10,0.9313463504450095,0.408,simple,0,0,0,0,0
CASE_012,basic,0,0.0,5,0.9501607504222755,2.763,simple,0,0,0,0,0
CASE_012,dynamic,0,0.0,5,0.7601286003378206,0.41,simple,0,0,0,0,0
CASE_012,multi_hop,0,0.0,15,0.9473956031903528,3.911,simple,0,0,0,0,0
CASE_012,adaptive,0,0.0,10,0.9487333037156409,2.583,simple,0,0,0,0,0
CASE_013,basic,0,0.0,5,0.9368104732312086,5.307,simple,0,0,0,0,0
CASE_013,dynamic,0,0.0,5,0.7494483785849669,0.266,simple,0,0,0,0,0
CASE_013,multi_hop,0,0.0,15,0.9330457744309537,0.083,simple,0,0,0,0,0
CASE_013,adaptive,0,0.0,10,0.9345142706280833,2.212,simple,0,0,0,0,0
CASE_014,basic,1,0.9,5,0.9553545364958322,0.412,moderate,0,1,0,0,1
CASE_014,dynamic,1,0.9,5,0.7642836291966658,3.646,moderate,0,1,0,0,1
CASE_014,multi_hop,1,1.0,15,0.9515679161387542,0.287,moderate,1,0,0,1,0
CASE_014,adaptive,1,0.9,10,0.9531197445356492,3.095,moderate,0,1,0,0,1
CASE_015,basic,1,1.0,5,0.9358697700214413,4.405,complex,1,0,0,1,0
CASE_015,dynamic,1,1.0,5,0.748695816017153,1.82,complex,1,0,0,1,0
CASE_015,multi_hop,1,1.0,15,0.9310562604619611,0.171,complex,1,0,0,1,0
CASE_015,adaptive,1,1.0,10,0.9329041839544653,0.74,complex,1,0,0,1,0
CASE_016,basic,0,0.0,5,0.9445926205905828,0.319,simple,0,0,0,0,0
CASE_016,dynamic,0,0.0,5,0.7556740964724664,4.119,simple,0,0,0,0,0
CASE_016,multi_hop,0,0.0,15,0.9414957279388327,0.252,simple,0,0,0,0,0
CASE_016,adaptive,0,0.0,10,0.9425431083714676,2.223,simple,0,0,0,0,0
CASE_017,basic,1,0.95,5,0.942658978611918,2.203,moderate,1,0,0,1,0
CASE_017,dynamic,1,1.0,5,0.7541271828895344,0.355,moderate,1,0,0,1,0
CASE_017,multi_hop,1,1.0,15,0.9334131221313194,0.219,moderate,1,0,0,1,0
CASE_017,adaptive,1,0.98,10,0.9364627036595319,0.257,moderate,1,0,0,1,0
CASE_018,basic,0,0.0,5,0.9532424092526396,0.406,simple,0,0,0,0,0
CASE_018,dynamic,0,0.0,5,0.7625939274021117,0.205,simple,0,0,0,0,0
CASE_018,multi_hop,0,0.0,15,0.9500937115887097,0.034,simple,0,0,0,0,0
CASE_018,adaptive,0,0.0,10,0.9513226529332174,3.093,simple,0,0,0,0,0
CASE_019,basic,0,0.0,5,0.9334173111726219,0.303,simple,0,0,0,0,0
CASE_019,dynamic,0,0.0,5,0.7467338489380975,0.031,simple,0,0,0,0,0
CASE_019,multi_hop,0,0.0,15,0.9279504333584051,0.036,simple,0,0,0,0,0
CASE_019,adaptive,0,0.0,10,0.9300891872923513,0.077,simple,0,0,0,0,0
CASE_020,basic,0,0.0,5,0.9482021549159219,0.51,simple,0,0,0,0,0
CASE_020,dynamic,0,0.0,5,0.7585617239327377,2.625,simple,0,0,0,0,0
CASE_020,multi_hop,0,0.0,15,0.9463731686533556,0.427,simple,0,0,0,0,0
CASE_020,adaptive,0,0.0,10,0.9473244369493692,3.749,simple,0,0,0,0,0
