parameter,label,value,is_default,mean_boost,mean_Φ_i,mean_α_eff,mean_score,std_score,Δ_score_%
CALIBRATION_T_BASE,T_base (Calibration),0.2,False,2.708910,0.445459,2.200182,1.219010,0.350950,-17.86
CALIBRATION_T_BASE,T_base (Calibration),0.35,False,3.067886,0.499233,2.200182,1.380548,0.435570,-6.97
CALIBRATION_T_BASE,T_base (Calibration),0.5,True,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
CALIBRATION_T_BASE,T_base (Calibration),0.65,False,3.455343,0.549425,2.200182,1.554908,0.541600,4.78
CALIBRATION_T_BASE,T_base (Calibration),0.8,False,3.569837,0.562985,2.200182,1.606427,0.575214,8.25
CALIBRATION_T_BASE,T_base (Calibration),1.0,False,3.681353,0.575708,2.200182,1.656607,0.608770,11.63
CALIBRATION_T_RANGE,T_range (Calibration),0.5,False,3.224804,0.521144,2.200182,1.451163,0.474712,-2.21
CALIBRATION_T_RANGE,T_range (Calibration),1.0,False,3.266878,0.526248,2.200182,1.470097,0.487063,-0.94
CALIBRATION_T_RANGE,T_range (Calibration),1.5,True,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
CALIBRATION_T_RANGE,T_range (Calibration),2.0,False,3.321562,0.532580,2.200182,1.494705,0.504929,0.72
CALIBRATION_T_RANGE,T_range (Calibration),2.5,False,3.340408,0.534689,2.200182,1.503184,0.511532,1.29
NEG_LAMBDA,λ_neg (Polarity Gate),0.3,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
NEG_LAMBDA,λ_neg (Polarity Gate),0.45,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
NEG_LAMBDA,λ_neg (Polarity Gate),0.6,True,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
NEG_LAMBDA,λ_neg (Polarity Gate),0.8,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
NEG_LAMBDA,λ_neg (Polarity Gate),1.0,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
KL_KAPPA,κ (KL Penalty),0.0,False,3.303029,0.529869,2.202929,1.486365,0.498051,0.16
KL_KAPPA,κ (KL Penalty),0.05,False,3.301286,0.529869,2.202015,1.485581,0.497674,0.11
KL_KAPPA,κ (KL Penalty),0.1,False,3.299546,0.529869,2.201109,1.484797,0.497299,0.05
KL_KAPPA,κ (KL Penalty),0.15,True,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
KL_KAPPA,κ (KL Penalty),0.25,False,3.294339,0.529869,2.198363,1.482454,0.496186,-0.11
KL_KAPPA,κ (KL Penalty),0.3,False,3.292608,0.529869,2.197446,1.481675,0.495819,-0.16
MARGIN_M,m (Margin),0.1,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
MARGIN_M,m (Margin),0.2,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
MARGIN_M,m (Margin),0.3,True,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
MARGIN_M,m (Margin),0.4,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
MARGIN_M,m (Margin),0.5,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
DIRICHLET_MU,μ (Dirichlet),0.5,False,3.290676,0.529869,2.195999,1.480805,0.496981,-0.22
DIRICHLET_MU,μ (Dirichlet),1.0,False,3.293544,0.529869,2.197710,1.482096,0.496893,-0.13
DIRICHLET_MU,μ (Dirichlet),2.0,True,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
DIRICHLET_MU,μ (Dirichlet),3.0,False,3.300843,0.529869,2.201913,1.485381,0.497077,0.09
DIRICHLET_MU,μ (Dirichlet),4.0,False,3.303120,0.529869,2.203179,1.486404,0.497265,0.16
ALPHA,α₀ (Base Weight),0.25,False,1.334486,0.529869,0.550057,0.600519,0.048321,-59.53
ALPHA,α₀ (Base Weight),0.5,False,1.792387,0.529869,1.100097,0.806573,0.131327,-45.65
ALPHA,α₀ (Base Weight),0.75,False,2.423207,0.529869,1.650150,1.090445,0.269868,-26.52
ALPHA,α₀ (Base Weight),1.0,True,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
ALPHA,α₀ (Base Weight),1.5,False,6.231601,0.529869,3.300294,2.804219,1.455648,88.96
ALPHA,α₀ (Base Weight),2.0,False,10.752064,0.529869,4.400397,4.838432,2.464009,226.04
L1_WEIGHT_BETA,β (L1/L2 Balance),0.0,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
L1_WEIGHT_BETA,β (L1/L2 Balance),0.1,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
L1_WEIGHT_BETA,β (L1/L2 Balance),0.3,True,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
L1_WEIGHT_BETA,β (L1/L2 Balance),0.5,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
L1_WEIGHT_BETA,β (L1/L2 Balance),0.7,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
L1_WEIGHT_BETA,β (L1/L2 Balance),1.0,False,3.297808,0.529869,2.200182,1.484015,0.496926,0.00
