parameter,label,value,is_default,mean_boost,mean_phi_i,mean_alpha_eff,mean_score,std_score,delta_score_pct,n_scored
CALIBRATION_T_BASE,T_base (Calibration),0.2,False,2.699419,0.438048,2.240498,1.214740,0.329941,-17.91,115
CALIBRATION_T_BASE,T_base (Calibration),0.35,False,3.058231,0.491246,2.240498,1.376204,0.407618,-6.99,115
CALIBRATION_T_BASE,T_base (Calibration),0.5,True,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
CALIBRATION_T_BASE,T_base (Calibration),0.65,False,3.445842,0.540983,2.240498,1.550634,0.506837,4.79,115
CALIBRATION_T_BASE,T_base (Calibration),0.8,False,3.560465,0.554440,2.240498,1.602209,0.538542,8.28,115
CALIBRATION_T_BASE,T_base (Calibration),1.0,False,3.672139,0.567077,2.240498,1.652463,0.570272,11.68,115
CALIBRATION_T_RANGE,T_range (Calibration),0.5,False,3.213850,0.512563,2.240498,1.446235,0.443130,-2.26,115
CALIBRATION_T_RANGE,T_range (Calibration),1.0,False,3.256709,0.517844,2.240498,1.465521,0.455191,-0.96,115
CALIBRATION_T_RANGE,T_range (Calibration),1.5,True,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
CALIBRATION_T_RANGE,T_range (Calibration),2.0,False,3.312373,0.524397,2.240498,1.490572,0.472725,0.74,115
CALIBRATION_T_RANGE,T_range (Calibration),2.5,False,3.331551,0.526579,2.240498,1.499200,0.479224,1.32,115
NEG_LAMBDA,λ_neg (Polarity Gate),0.3,False,3.292203,0.521868,2.240498,1.481492,0.467142,0.12,115
NEG_LAMBDA,λ_neg (Polarity Gate),0.45,False,3.290193,0.521730,2.240498,1.480588,0.465983,0.06,115
NEG_LAMBDA,λ_neg (Polarity Gate),0.6,True,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
NEG_LAMBDA,λ_neg (Polarity Gate),0.8,False,3.285567,0.521407,2.240498,1.478506,0.463417,-0.08,115
NEG_LAMBDA,λ_neg (Polarity Gate),1.0,False,3.284063,0.521297,2.240498,1.477830,0.462664,-0.13,115
KL_KAPPA,κ (KL Penalty),0.0,False,3.293484,0.521592,2.243342,1.482070,0.465916,0.16,115
KL_KAPPA,κ (KL Penalty),0.05,False,3.291721,0.521592,2.242396,1.481276,0.465562,0.11,115
KL_KAPPA,κ (KL Penalty),0.1,False,3.289957,0.521592,2.241458,1.480483,0.465210,0.05,115
KL_KAPPA,κ (KL Penalty),0.15,True,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
KL_KAPPA,κ (KL Penalty),0.25,False,3.284686,0.521592,2.238617,1.478111,0.464167,-0.11,115
KL_KAPPA,κ (KL Penalty),0.3,False,3.282937,0.521592,2.237668,1.477322,0.463824,-0.16,115
MARGIN_M,m (Margin),0.1,False,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
MARGIN_M,m (Margin),0.2,False,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
MARGIN_M,m (Margin),0.3,True,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
MARGIN_M,m (Margin),0.4,False,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
MARGIN_M,m (Margin),0.5,False,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
DIRICHLET_MU,μ (Dirichlet),0.5,False,3.280903,0.521592,2.236170,1.476407,0.465005,-0.22,115
DIRICHLET_MU,μ (Dirichlet),1.0,False,3.283840,0.521592,2.237941,1.477729,0.464878,-0.13,115
DIRICHLET_MU,μ (Dirichlet),2.0,True,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
DIRICHLET_MU,μ (Dirichlet),3.0,False,3.291296,0.521592,2.242290,1.481085,0.464978,0.09,115
DIRICHLET_MU,μ (Dirichlet),4.0,False,3.293617,0.521592,2.243600,1.482128,0.465142,0.16,115
ALPHA,α₀ (Base Weight),0.25,False,1.335092,0.521592,0.560137,0.600791,0.045266,-59.40,115
ALPHA,α₀ (Base Weight),0.5,False,1.792590,0.521592,1.120257,0.806665,0.123095,-45.48,115
ALPHA,α₀ (Base Weight),0.75,False,2.420754,0.521592,1.680388,1.089341,0.252835,-26.38,115
ALPHA,α₀ (Base Weight),1.0,True,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
ALPHA,α₀ (Base Weight),1.5,False,6.175750,0.521592,3.360768,2.779087,1.353432,87.82,115
ALPHA,α₀ (Base Weight),2.0,False,10.761051,0.521592,4.481029,4.842471,2.389982,227.26,115
L1_WEIGHT_BETA,β (L1/L2 Balance),0.0,False,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
L1_WEIGHT_BETA,β (L1/L2 Balance),0.1,False,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
L1_WEIGHT_BETA,β (L1/L2 Balance),0.3,True,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
L1_WEIGHT_BETA,β (L1/L2 Balance),0.5,False,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
L1_WEIGHT_BETA,β (L1/L2 Balance),0.7,False,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
L1_WEIGHT_BETA,β (L1/L2 Balance),1.0,False,3.288200,0.521592,2.240498,1.479691,0.464860,0.00,115
