parameter,label,value,is_default,mean_boost,mean_Φ_i,mean_α_eff,mean_score,std_score,Δ_score_%
CALIBRATION_T_BASE,T_base (Calibration),0.2,False,2.651567,0.443281,2.159840,1.193206,0.349470,-17.51
CALIBRATION_T_BASE,T_base (Calibration),0.35,False,2.994923,0.496225,2.159840,1.347714,0.437015,-6.83
CALIBRATION_T_BASE,T_base (Calibration),0.5,True,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
CALIBRATION_T_BASE,T_base (Calibration),0.65,False,3.364996,0.545714,2.159840,1.514252,0.544896,4.68
CALIBRATION_T_BASE,T_base (Calibration),0.8,False,3.474320,0.559105,2.159840,1.563444,0.578863,8.08
CALIBRATION_T_BASE,T_base (Calibration),1.0,False,3.580814,0.571681,2.159840,1.611363,0.612697,11.39
CALIBRATION_T_RANGE,T_range (Calibration),0.5,False,3.142362,0.517245,2.159840,1.414064,0.478026,-2.25
CALIBRATION_T_RANGE,T_range (Calibration),1.0,False,3.184100,0.522632,2.159840,1.432847,0.490038,-0.95
CALIBRATION_T_RANGE,T_range (Calibration),1.5,True,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
CALIBRATION_T_RANGE,T_range (Calibration),2.0,False,3.237848,0.529240,2.159840,1.457033,0.507350,0.72
CALIBRATION_T_RANGE,T_range (Calibration),2.5,False,3.256252,0.531424,2.159840,1.465316,0.513728,1.30
NEG_LAMBDA,λ_neg (Polarity Gate),0.3,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
NEG_LAMBDA,λ_neg (Polarity Gate),0.45,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
NEG_LAMBDA,λ_neg (Polarity Gate),0.6,True,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
NEG_LAMBDA,λ_neg (Polarity Gate),0.8,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
NEG_LAMBDA,λ_neg (Polarity Gate),1.0,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
KL_KAPPA,κ (KL Penalty),0.0,False,3.220141,0.526420,2.162907,1.449065,0.500741,0.17
KL_KAPPA,κ (KL Penalty),0.05,False,3.218280,0.526420,2.161888,1.448227,0.500360,0.12
KL_KAPPA,κ (KL Penalty),0.1,False,3.216419,0.526420,2.160875,1.447391,0.499981,0.06
KL_KAPPA,κ (KL Penalty),0.15,True,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
KL_KAPPA,κ (KL Penalty),0.25,False,3.210858,0.526420,2.157804,1.444888,0.498858,-0.12
KL_KAPPA,κ (KL Penalty),0.3,False,3.209010,0.526420,2.156781,1.444056,0.498487,-0.17
MARGIN_M,m (Margin),0.1,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
MARGIN_M,m (Margin),0.2,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
MARGIN_M,m (Margin),0.3,True,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
MARGIN_M,m (Margin),0.4,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
MARGIN_M,m (Margin),0.5,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
DIRICHLET_MU,μ (Dirichlet),0.5,False,3.206775,0.526420,2.154987,1.443050,0.499755,-0.24
DIRICHLET_MU,μ (Dirichlet),1.0,False,3.209915,0.526420,2.156983,1.444464,0.499621,-0.14
DIRICHLET_MU,μ (Dirichlet),2.0,True,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
DIRICHLET_MU,μ (Dirichlet),3.0,False,3.217857,0.526420,2.161823,1.448038,0.499733,0.10
DIRICHLET_MU,μ (Dirichlet),4.0,False,3.220322,0.526420,2.163264,1.449145,0.499912,0.18
ALPHA,α₀ (Base Weight),0.25,False,1.325475,0.526420,0.539970,0.596464,0.048767,-58.77
ALPHA,α₀ (Base Weight),0.5,False,1.768628,0.526420,1.079925,0.795882,0.132369,-44.98
ALPHA,α₀ (Base Weight),0.75,False,2.376108,0.526420,1.619891,1.069249,0.271659,-26.08
ALPHA,α₀ (Base Weight),1.0,True,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
ALPHA,α₀ (Base Weight),1.5,False,6.010330,0.526420,3.239780,2.704647,1.460397,86.97
ALPHA,α₀ (Base Weight),2.0,False,10.276204,0.526420,4.319709,4.624295,2.461307,219.68
L1_WEIGHT_BETA,β (L1/L2 Balance),0.0,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
L1_WEIGHT_BETA,β (L1/L2 Balance),0.1,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
L1_WEIGHT_BETA,β (L1/L2 Balance),0.3,True,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
L1_WEIGHT_BETA,β (L1/L2 Balance),0.5,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
L1_WEIGHT_BETA,β (L1/L2 Balance),0.7,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
L1_WEIGHT_BETA,β (L1/L2 Balance),1.0,False,3.214564,0.526420,2.159840,1.446556,0.499605,0.00
